fips	Peak ICU	Peak ICU/ICU beds	Fatalities	Fatalities/population
47029	121.7126932980093	9.998373701472925	1661.1382812592562	0.046137603634575496
47031	82.88054117310304	4.337052409808479	1101.472084363578	0.019488182667437685
47033	18.990493864511308	3.9470770505915507	266.0430408019471	0.01869592697132446
47035	176.7760742821264	8.639106166576322	2403.0397565770027	0.03970653926928293
47037	994.4468941594741	4.2371736898912316	11780.503932295265	0.01697126811194113
47039	17.395274828958094	4.411286494091303	250.32026068364243	0.02146276778561626
47041	68.00239271308664	9.815817627375736	939.5581252807722	0.045854471707211915
47043	74.4701653446403	4.082735213246908	999.8048197326825	0.01853275042138138
47045	47.18427231451784	3.7555840759639887	649.1848438965789	0.017470460558588197
47047	132.56534751819856	9.531996504049255	1849.5600492777046	0.04496535748128521
47049	22.975446144315214	3.668570521285309	329.31391963484367	0.017778649227168583
47051	58.8260043444601	4.12210283589959	808.953039118048	0.01916586995636012
47053	157.95512968390653	9.508339878137932	2160.096817090629	0.04396427690331608
47055	36.124831437204335	3.6262552347920116	509.38227185086754	0.017288293234145654
47057	33.86022131375125	4.294429639372888	462.03413981545873	0.019812784726220358
47059	234.46009072583888	10.03991430154284	3150.258422187568	0.04561030885328538
47061	16.864209858156173	3.7147642239597616	243.78318298399427	0.01815619147866197
47063	98.0075023880068	4.464074259558407	1231.3709579749411	0.018963423752963643
47065	1442.8747949811095	11.602630029700762	17634.781338859215	0.04794613799431005
47067	7.901463772242138	3.530155280685324	114.86297772807508	0.017350902980071765
47069	32.56368684318571	3.8447675205435994	466.4740306190979	0.018621717789185546
47071	79.04645092606324	9.113923723455082	1120.3024486633894	0.043673103409612876
47073	70.93267888832008	3.694446052171442	953.3876102910571	0.01678913130509381
47075	22.731201192641862	3.8852603386364764	330.7861309163479	0.019116165679400592
47077	90.6572181453945	9.536250547187743	1269.4376740433138	0.04514840395644321
47079	40.0579244550905	3.66290397040553	558.7670719375295	0.01727522250541133
47081	30.7341490979166	3.610307635733457	437.7563985923144	0.017386464317750195
47083	25.112394922208722	9.056607906116303	357.6591735097875	0.043611653884866174
47085	22.281808635415757	3.5465184995560906	320.6299178267905	0.017254865882401816
47087	17.518032313188954	4.396055144680613	250.62665185058557	0.021264776162445747
