fips,Peak ICU,Peak ICU/ICU beds,Fatalities,Fatalities/population,Risk index
01001,191.66736852693816,8.995264862338445,2600.7755617147454,0.04655131757709544,0.418741
01003,295.9245534335232,3.4758204408010926,3925.28753571175,0.01758373516449891,0.0611179
01005,33.44133538804368,3.5519722160523326,488.29215569980596,0.019780124592878798,0.0702585
01007,72.3996349850022,8.476984244345863,1039.869446650865,0.046435181149007104,0.39363
01009,81.04027956893879,3.674637069776793,1101.0620929368245,0.01904095204470004,0.0699686
01011,11.749239105116118,3.049875029137199,177.93972744824262,0.017616050633426653,0.0537268
01013,59.816290803652635,8.064569822945032,879.788512531138,0.045237994268363745,0.364825
01015,159.3292437240949,3.677347926330381,2082.7046992680307,0.018332861223256287,0.0674163
01017,43.264993216602875,3.411374672223887,637.8144085022217,0.019180080847483662,0.0654304
01019,80.59416769525978,8.066874604092762,1137.9377022946578,0.043439368693489765,0.35042
01021,61.25653325999656,3.6151999706358566,851.0568347352038,0.019155866452129373,0.0692523
01023,17.324739252165344,3.6083789994969853,265.4039802086447,0.021082213059706468,0.0760726
01025,70.22377140954075,7.794785306606889,1054.068302706099,0.04462231405918631,0.347821
01027,14.835627580259043,2.9391290156796375,222.25473362942984,0.016792953050958053,0.0493567
01029,18.243341847807443,3.2082147106540044,269.3375931165722,0.018064224890447497,0.0579539
01031,171.02072282474455,8.567124884765951,2346.160798147922,0.04482367502479695,0.38401
01033,70.34823663773972,3.339091785741718,955.6388613945602,0.017299448985256607,0.0577644
01035,16.849379116680097,3.661181528986296,257.58037438007784,0.021345850201382105,0.078151
01037,31.781554233814234,7.8150614271612575,483.05735275268574,0.04530219945162579,0.354039
01039,46.58052977391344,3.2965874919441847,669.1555090437226,0.018061364923310282,0.0595409
01041,16.887964513809806,3.21526643552696,250.0329706688825,0.018155167780197684,0.0583737
01043,285.8156221269189,8.9463212579126,3830.1699516597623,0.04572354540707385,0.409058
01045,68.93104927631498,3.6756460988176873,937.8067673613324,0.019071967122779882,0.0701018
01047,48.57429868427033,3.424104206107984,699.5352480890325,0.018806733199511573,0.0643962
01049,247.06767893513484,9.058736168903959,3355.9107724092282,0.04692728276550037,0.425102
01051,108.80357714642764,3.5129800581934605,1448.345178761356,0.017834786523185313,0.0626532
01053,46.731307473053164,3.344815132381326,670.2005687555315,0.018294995461893143,0.0611934
01055,362.80418098189944,9.301847040290568,4740.430472140256,0.046353018267104626,0.431169
01057,19.2489426942995,3.0960122042880753,282.4125424501468,0.017323797230410182,0.0536347
01059,38.85437343456286,3.2484249137081416,547.032732253665,0.01744253339243878,0.0566608
01061,82.43367570686337,8.22744019647039,1166.1914300933129,0.044390827532005364,0.365223
01063,10.255668430483155,3.315326028712482,158.15492134795107,0.019498819054117995,0.0646449
01065,18.939364759013444,3.389493560729489,280.29043951038585,0.019131147328536335,0.0648449
01067,50.37604679546149,7.677257015722786,731.1442731299978,0.0424960344742806,0.326253
01069,153.20499775931376,3.7939138935437877,2006.0536432777105,0.018946125340262843,0.07188
01071,70.91491354568541,3.601685387700028,1004.7347636393888,0.01946179761436851,0.0700953
01073,2568.610188629953,10.226592535774852,31614.071473647164,0.048003898540704165,0.490916
01075,16.588030812306414,3.1506132536819615,245.4406905427127,0.01777911557716137,0.0560151
01077,136.04755273123044,3.846908271769088,1808.9147891526618,0.01950754121313356,0.0750437
01079,105.86685945678255,8.431097469745664,1493.9220693807597,0.045374865428889556,0.38256
01081,222.66193559110388,3.5481819431804307,2886.91434028925,0.01754515163477562,0.0622534
01083,122.21495699575985,3.2396558484003557,1598.3217945102872,0.01615853808330675,0.0523481
01085,29.131474192618697,7.8535293396901285,448.7984009871191,0.04614419093019938,0.362395
01087,18.57596311009111,2.6957395555575587,274.37681023500573,0.015185787593259118,0.0409369
01089,487.0257500136713,3.424409806164073,6062.275703296832,0.016256715990487846,0.0556697
01091,55.65403432961648,7.736108640219486,839.1083252053163,0.04448435165166285,0.344136
01093,35.12651936817829,3.100157496850667,511.6643518703783,0.01722253700462413,0.0533926
01095,128.91774615220027,3.4929364572072368,1696.8624131358836,0.01753428000429747,0.0612461
01097,1562.2577951368085,9.913306873714623,19818.672545413065,0.04796271277416583,0.475469
01099,25.662693452084028,3.2454637429610305,384.988894442704,0.018568894730270777,0.0602647
01101,296.7130984767132,3.435041831992785,3785.35923818677,0.016713435877655884,0.0574114
01103,427.4352498323974,9.364596219349608,5542.478735172544,0.046311205267194275,0.433686
01105,10.859890224174464,3.191179368154449,167.63221829907397,0.01878653124499316,0.0599512
01107,25.456723194031667,3.349128991956558,379.0711884768659,0.01902012987841776,0.0637009
01109,119.67027692000556,9.475700484697573,1685.4721399398532,0.05089908014555333,0.482304
01111,27.265118916607435,3.1462810453231214,397.9102374642676,0.017512113258703794,0.055098
01113,68.12551516689518,3.0818436561076217,925.1908771544437,0.01596230011825958,0.0491933
01115,312.39142352242925,9.150704150465668,4134.961230136167,0.04619449046090096,0.422712
01117,316.8547205647069,3.8162290753731183,4058.650151765552,0.018643145913981276,0.0711465
01119,15.384304699605806,3.2459979989464327,237.89027949745727,0.019143017582478255,0.0621382
01121,282.09609344167393,9.2483276077513,3794.6783346258017,0.0474465269777414,0.438801
01123,47.69302431925047,3.097883356656997,699.3186596447296,0.017324018620277194,0.0536678
01125,238.50317811280547,2.9870844851714424,3137.9752223816345,0.01498877610939139,0.0447727
01127,213.45836026343636,8.811148396738686,2918.70179344756,0.04594861216680404,0.40486
01129,18.80349921018218,3.0199208268847473,288.3694686231816,0.01766320400730011,0.0533415
